date,zscore,exposure,ret,equity
2024-02-02,-2.0109025109457885,0.49010479578592764,0.0005964543941176355,101097.27181289205
2024-02-05,-1.6757643697270055,0.489976600946279,0.0010043786657416033,101198.81175586561
2024-02-06,-1.8641681818924585,0.4889151486252943,-0.0017191514895215179,101024.8356678977
2024-02-07,-1.170274025603732,0.48565742867791994,0.003441772425670374,101372.54016160735
2024-02-08,-1.4715131289511973,0.4857623588684325,-0.0019483676876323223,101175.02917994327
2024-02-09,-1.1385906514970296,0.48472031688946887,0.0016205555367937701,101338.98893366611
2024-02-12,-1.6612725500727628,0.4793761428284927,-0.003432308844822899,100991.16222562367
2024-02-13,-1.630978031620455,0.47935066120876374,-0.00044668462021083726,100946.05102668029
2024-02-14,-1.7551032102979858,0.4811846827663335,-0.001674591287985575,100777.00764907447
2024-02-15,-1.6076635221598734,0.4831379741130341,3.3424497642909435e-05,100780.37606992912
2024-02-16,-1.6437229529159343,0.48602485363055903,-0.0012174794627280159,100657.67803181798
2024-02-20,-0.04400500270211919,0.0,0.010136626431440119,101678.00731148271
2024-02-21,-0.6765143871948162,0.0,0.0,101678.00731148271
2024-02-22,-0.625465167940744,0.0,0.0,101678.00731148271
2024-02-23,-0.9020446687622871,0.0,0.0,101678.00731148271
2024-02-26,-0.8598005769806634,0.0,0.0,101678.00731148271
2024-02-27,-1.0972113182808882,0.0,0.0,101678.00731148271
2024-02-28,-0.982432574305271,0.0,0.0,101678.00731148271
2024-02-29,-1.1109126621100849,0.0,0.0,101678.00731148271
2024-03-01,-1.1891073280857292,0.0,0.0,101678.00731148271
2024-03-04,-0.5863319313596054,0.0,0.0,101678.00731148271
2024-03-05,-0.7149843097860916,0.0,0.0,101678.00731148271
2024-03-06,-1.0285757571409055,0.0,0.0,101678.00731148271
2024-03-07,-0.9472625153043813,0.0,0.0,101678.00731148271
2024-03-08,-0.6508261897508464,0.0,0.0,101678.00731148271
2024-03-11,-0.3902542456599696,0.0,0.0,101678.00731148271
2024-03-12,0.23645758565656233,0.0,0.0,101678.00731148271
2024-03-13,0.33907726630773477,0.0,0.0,101678.00731148271
2024-03-14,-0.22135419490331695,0.0,0.0,101678.00731148271
2024-03-15,-1.1449644527474814,0.0,0.0,101678.00731148271
2024-03-18,-0.8709572924309783,0.0,0.0,101678.00731148271
2024-03-19,-1.185368352819058,0.0,0.0,101678.00731148271
2024-03-20,-1.3208741854640709,0.0,0.0,101678.00731148271
2024-03-21,-0.7459723356191346,0.0,0.0,101678.00731148271
2024-03-22,-2.589480793122549,0.6589392359041694,0.0,101678.00731148271
2024-03-25,-1.7530099532098806,0.6563875145884308,0.0019791715985348164,101879.24553574923
2024-03-26,-2.120615221452488,0.6659929358903159,-0.001898209207095181,101685.85741386136
2024-03-27,-2.7903761870350223,0.6464743103042316,-0.004078162965679715,101271.16591602277
2024-03-28,-2.9930872789358784,0.6353002398921656,-0.0036017674801583754,100906.4107239487
2024-04-01,-2.268460592797928,0.6294225533717881,0.0017659326975107057,101084.60465403457
2024-04-02,-2.1419371409757773,0.6300763289321686,-0.0007617382077506692,101007.60464845422
2024-04-03,-2.0931188138475973,0.8779120540014868,-0.0008503290978980496,100921.71494311266
2024-04-04,-1.5381455594788902,0.8975362682860578,0.002402833833019051,101164.21305426428
2024-04-05,-1.710275274596454,0.8932742674751467,-0.0018320820093749607,100978.87191953498
2024-04-08,-1.7611328856822293,0.9006783247291792,-0.0012880609471198677,100848.80497813123
2024-04-09,-0.877585188554658,0.8100322097313536,0.004901452894949087,101343.11064524343
2024-04-10,-0.9840194634178294,0.8162376274787279,-0.0010540770386437007,101236.28719928757
2024-04-11,-0.4324701422896285,0.0,0.002630436316292769,101502.58280566322
2024-04-12,0.17701504414169228,0.0,0.0,101502.58280566322
2024-04-15,-0.27661462484322963,0.0,0.0,101502.58280566322
2024-04-16,-0.21682357085351242,0.0,0.0,101502.58280566322
2024-04-17,0.18550780115089022,0.0,0.0,101502.58280566322
2024-04-18,0.7503420251336432,0.0,0.0,101502.58280566322
2024-04-19,0.12966007777106323,0.0,0.0,101502.58280566322
2024-04-22,0.7392994262365727,0.0,0.0,101502.58280566322
2024-04-23,0.2447627169880255,0.0,0.0,101502.58280566322
2024-04-24,0.6941152513546451,0.0,0.0,101502.58280566322
2024-04-25,0.9008654906605617,0.0,0.0,101502.58280566322
2024-04-26,0.6527787293276044,0.0,0.0,101502.58280566322
2024-04-29,0.7960977493783633,0.0,0.0,101502.58280566322
2024-04-30,0.859326678180082,0.0,0.0,101502.58280566322
2024-05-01,2.2209850235124358,-0.63930746542942,0.0,101502.58280566322
2024-05-02,2.2792465290772634,-0.6379761353385206,-0.0016188961728205301,101338.26066282774
2024-05-03,1.9605273488252282,-0.6380300741076106,0.0009855190132596087,101438.13144548162
2024-05-06,2.0280778924150855,-0.6909651952356047,-0.0018660027680613687,101248.84761141737
