date,AAPL,ABBV,AMD,BAC,C,CL,COP,COST,CVX,GOOGL,GS,HD,JNJ,JPM,KO,LOW,MA,META,MRK,MS,MSFT,NVDA,PEP,PFE,PG,SLB,T,TGT,V,VZ,WFC,WMT,XOM
2016-02-24,21.7430766523,35.9857132542,2.02,9.6401024473,28.1776404831,52.1226302,24.0434371229,129.5678934262,55.2427793203,35.7479902812,117.5224791946,97.5629213184,79.2878421041,42.7010975618,31.8435640134,56.784607812,81.3004016348,106.0558702879,35.1699526304,17.8057158,45.0875591923,0.7753278715,72.350190733,18.0557307562,61.5490913062,53.8503824417,15.3982589827,56.4696443687,66.8452916369,29.5024460522,35.8020804183,18.5745821217,52.3452019029
2016-02-25,21.8924047541,36.8445451792,2.03,9.7911015788,28.5697158167,52.9871490966,24.1163844443,130.2836450958,55.2622150348,36.1556036535,119.694335948,98.5338125822,80.3605244191,43.3628352689,32.0248641957,56.8508096282,82.2411607372,107.2366944425,35.4760202561,18.4966166239,45.7371852399,0.7770334953,73.0687570334,18.398561087,62.1377167502,53.9547870053,15.5103217839,57.7393673315,68.1663816038,29.6707992469,35.9073585376,18.8291800888,52.6598381754
2016-02-26,21.9263429591,36.7134258013,2.07,10.0930998418,29.2207088234,52.0911931492,24.8896260508,126.0396587251,54.6467507407,35.9443587671,121.3090993335,98.0677847756,79.9072783705,43.7659628377,31.285159452,57.181818709,82.3822746026,107.0878510617,35.2256012896,18.8946355769,45.0348868101,0.7719166238,71.3921023324,18.1820366676,61.2019532238,54.0442766313,15.410710405,57.5632207933,67.6639952784,29.6185517037,36.1479942388,18.4057726001,52.4928883165
2016-02-29,21.8765669252,35.8021461252,2.14,9.950048033,28.7398617162,51.5882003367,24.6780788188,126.3343800008,54.0572007328,35.5655064356,121.252582615,96.4056189319,79.4766946243,42.8227964505,31.2779074447,55.8826080668,81.770781186,106.0955618561,34.9264897463,18.5491851649,44.6661801344,0.7669215825,71.0001570776,17.8452209039,60.5906883395,53.4849664689,15.3360018709,57.5778996715,67.3476779624,29.450198509,35.2832096876,18.3587273235,51.4655045696
2016-03-01,22.7453849724,36.9363287437,2.18,10.4825186545,30.5300924846,52.9164157323,25.1376469434,126.7469897869,55.7999364707,36.8027270731,125.4043462945,97.6328254894,80.9950688872,45.0285888076,31.684019853,57.1321673469,84.7623951318,108.9732005522,35.9977264363,19.5930461924,46.1585642977,0.800914599,71.9219542509,18.0677598906,61.3000574644,55.1927268316,15.5186227321,59.4200988834,69.4409543184,29.8739841371,36.6367855069,18.391935754,52.1910943409
2016-03-02,22.7951610064,36.5167467345,2.32,10.6970963677,31.2328690259,52.7199341649,26.6184775672,128.6584677753,56.4542721938,36.669335349,125.0394451898,97.5473870581,80.8590950726,45.454534918,31.7420359113,57.173543482,84.5648357203,109.1021981489,36.3594427213,19.6080657755,46.4833773215,0.8055611265,71.8802193395,18.0316724874,62.2961928313,55.4910255849,15.6431369557,59.5228510307,69.1246370024,30.2571327871,37.2759740882,18.3227515238,53.1028974162
2016-03-03,22.9648520313,36.6675340191,2.46,10.7688889608,31.6841255419,53.1364750878,28.1284871195,127.6564154377,56.706936483,36.2780860172,125.9557524081,98.4872098015,80.564485141,45.6066585288,31.8798240499,57.8686625516,84.4237218549,108.7350511429,36.2411893204,19.6305951502,45.9566534992,0.7984690583,72.4869576905,17.9775413825,62.5150407528,55.8191542135,15.7676511793,58.502668997,68.761802434,30.1236112879,37.4263714014,18.3033799394,52.9102629637
2016-03-04,23.306496628,36.8117653347,2.37,10.8007967799,31.6841255419,53.5687345361,29.9959385466,127.0669728862,56.9660793436,36.2101504551,127.180198337,97.5240856678,80.4511736288,45.6751141537,31.9886041592,58.2493229946,84.7153571767,107.5542269883,36.2272771556,19.6230853586,45.6757341272,0.7960235175,73.1010061421,17.8692791728,63.0055619562,55.8042392759,15.7427483346,59.544869348,68.7524989835,30.0771690273,37.6820468339,18.4804915687,52.8396303311
2016-03-07,23.0485662702,36.9756645571,2.47,10.7928198251,31.5213772902,53.105038037,30.2001910464,124.7681469354,58.7412079391,35.346327469,125.971970235,97.9978806046,80.6324720483,45.5914461677,31.9160840863,58.5637816213,83.0690287474,104.9147377015,36.6168177702,19.5930461924,44.79786109,0.7908878819,72.552748596,17.9173957104,62.7112492342,56.7960826306,15.8257578169,59.3173467361,66.9290226911,30.3093803303,37.6519673713,18.7876695507,54.2330195377
2016-03-08,22.8585123224,36.2676199166,2.3,10.4179029502,30.3673442329,53.0736009862,28.1722555124,127.1090759256,57.4908436364,35.3825267101,122.9311276963,98.9610047383,80.2396588061,44.7091292249,32.1408963123,58.7458366158,81.7049280488,105.1131955427,36.4846522046,18.7819887034,45.3421423731,0.7764591914,72.9109435261,17.6587693205,62.681063314,54.2157984145,15.8091559205,59.1045030025,65.7009672289,30.4545123947,36.8849410737,18.8291800888,53.0579493773
2016-03-09,22.8788752453,36.9691085882,2.26,10.4817185885,30.441320711,53.4272678075,28.4859289942,128.8774035801,60.1341008151,35.9716321679,121.5607213256,98.4221545704,80.7080130564,44.9677393633,32.4962446696,58.6299834375,82.0153785526,106.6810124874,36.4220474629,18.4815970408,46.3868112874,0.7759700833,73.2472081544,17.8873228744,62.6055985135,54.2530857586,15.7635007052,59.6035848607,65.7567879317,30.3848490038,36.6894245665,18.8264127196,52.9102629637
2016-03-10,22.8901879803,36.8642130859,2.26,10.5854190007,30.6040689626,53.6237493749,28.47133953,128.7258326383,60.859700825,36.3068470581,122.460810717,98.3128226523,80.9346360807,44.5798241556,32.8008289758,58.5058550322,81.7425584129,106.4924775384,36.8950610663,18.5116362071,45.693291588,0.7747473129,73.67119399,17.7971043663,62.0924378699,54.5737569184,15.9004663511,59.8164285944,65.3288292101,30.3732384386,36.4788683279,18.79295841,52.7689976985
2016-03-11,23.1368056031,37.8476084198,2.52,11.0002206496,31.8024879068,53.7337790527,29.5582546183,128.5911029123,61.274329402,36.9366146771,124.8286134405,100.319844292,81.3652198269,45.1350753352,33.0328932091,59.6809372691,83.3324412961,108.5663619779,37.3263381753,19.5254580683,46.588722086,0.787953233,74.0586293225,18.3444299821,61.6924744272,55.931016246,15.9212187217,60.0879878407,66.6406157265,30.4951493727,37.6519673713,18.7260497909,52.7754188469
2016-03-14,23.1956318251,37.5066980374,2.72,10.8805663278,31.5657631771,53.6316086376,29.1862232794,128.5574204807,61.0670151135,37.2029022452,124.4637123358,100.6166023554,81.3274493228,44.9677393633,33.098666669,60.2022765713,83.6052614358,109.0426607966,37.2421434276,19.4578699442,46.6765093897,0.7899096656,73.576162682,18.1038472939,61.2547785841,54.7676511081,15.9046168252,60.0145934498,66.5103674199,30.5009546553,37.5090899237,18.7790191144,52.9166841121
2016-03-15,23.6617165067,36.4642989834,2.49,10.8247276443,31.5065819946,53.906682832,29.0549181009,129.8289322704,61.073493685,37.2192662857,123.2798109741,101.2960221323,81.4029903309,45.0285888076,33.0621258579,60.491909517,84.066233396,109.8166463769,36.7790723149,19.0973999491,47.0452160653,0.7859968004,73.9416677127,17.7670315303,61.3604293049,54.6110442626,15.9876263076,59.9265201807,66.9011123397,30.5764233288,37.5842885803,18.982532831,53.1799511972
